uniprot_id,target_class,model,feature_set,AUROC
Q9Y5N1,GPCR,XGBoost,combined,1.0
P43405,Kinase,RandomForest,morgan,0.998
P43405,Kinase,XGBoost,morgan,0.9902
P43405,Kinase,RandomForest,desc,0.9936
P43405,Kinase,XGBoost,desc,0.9923
P43405,Kinase,RandomForest,combined,0.9944
P43405,Kinase,XGBoost,combined,0.9895
Q99685,Hydrolase,RandomForest,morgan,
Q99685,Hydrolase,XGBoost,morgan,
Q99685,Hydrolase,RandomForest,desc,
Q99685,Hydrolase,XGBoost,desc,
Q99685,Hydrolase,RandomForest,combined,
Q99685,Hydrolase,XGBoost,combined,
Q8NER1,GPCR,RandomForest,morgan,0.9984
Q8NER1,GPCR,XGBoost,morgan,0.9977
Q8NER1,GPCR,RandomForest,desc,0.9965
Q8NER1,GPCR,XGBoost,desc,0.9961
Q8NER1,GPCR,RandomForest,combined,0.9956
Q8NER1,GPCR,XGBoost,combined,0.9959
P28335,GPCR,RandomForest,morgan,
P28335,GPCR,XGBoost,morgan,
P28335,GPCR,RandomForest,desc,
P28335,GPCR,XGBoost,desc,
P28335,GPCR,RandomForest,combined,
P28335,GPCR,XGBoost,combined,
P22303,Hydrolase,RandomForest,morgan,0.895
P22303,Hydrolase,XGBoost,morgan,0.892
P22303,Hydrolase,RandomForest,desc,0.8656
P22303,Hydrolase,XGBoost,desc,0.8899
P22303,Hydrolase,RandomForest,combined,0.8778
P22303,Hydrolase,XGBoost,combined,0.8932
P41143,GPCR,RandomForest,morgan,0.9492
P41143,GPCR,XGBoost,morgan,0.8944
P41143,GPCR,RandomForest,desc,0.9984
P41143,GPCR,XGBoost,desc,0.9984
P41143,GPCR,RandomForest,combined,0.9984
P41143,GPCR,XGBoost,combined,0.9984
Q12809,Ion Channel,RandomForest,morgan,0.9265
Q12809,Ion Channel,XGBoost,morgan,0.9051
Q12809,Ion Channel,RandomForest,desc,0.927
Q12809,Ion Channel,XGBoost,desc,0.9401
Q12809,Ion Channel,RandomForest,combined,0.9435
Q12809,Ion Channel,XGBoost,combined,0.9332
